"probability","observed_positive","overall_positive","complier_positive"
0.025,159.15,433.555455521664,436.614858979184
0.0255,162,439.705198302614,443.449781329399
0.026,164.556,445.717455644379,449.972186521333
0.0265,171,451.430876718431,456.859731641111
0.027,175.974666666667,458.350975863314,464.295202292648
0.0275,183,464.490702709765,471.409863403177
0.028,189,471.737378497391,478.903071495497
0.0285,193.380666666667,479.237721689751,486.919899543597
0.029,198,485.761078025313,492.285614687278
0.0295,201,492.252975914699,498.775884197
0.03,203,498.777447442419,505.007827470927
0.0305,206.461,504.65291552173,510.701148296995
0.031,213,510.31287163622,517.277697890627
0.0315,216,516.909136036142,523.74804450301
0.032,216.664,522.565952873415,530.347568741466
0.0325,224.195,528.318388918184,537.063397224975
0.033,226,534.833048792769,542.718767158107
0.0335,231,540.135710233759,549.586832041432
0.034,234,547.317051190123,555.589601863871
0.0345,237.007,552.748056818208,562.611968445896
0.035,243,559.711698957031,568.618871564536
0.0355,247.275333333333,565.823066070917,574.491914073766
0.036,251.205333333333,571.813557681804,582.186782868807
0.0365,255,577.739205018898,587.996904700256
0.037,258.340666666667,585.528210376697,594.158063770007
0.0375,264,592.397486697271,600.952039494846
0.038,269.476,599.629612801795,606.802763891041
0.0385,282.543666666667,605.282080613101,613.147938955943
0.039,294,610.326831217561,618.674314746127
0.0395,297,615.965262589234,624.263691892136
0.04,300,622.067348897074,630.385522661027
0.0405,308.443,627.820825383046,636.301181546556
0.041,312,633.942643400953,642.295722088379
0.0415,318.949666666667,640.634283451086,648.091410998202
0.042,321.017333333333,647.894606206351,654.496932508413
0.0425,325.17,653.792911837752,661.140106701272
0.043,332.305333333333,659.370357886374,666.883414886275
0.0435,337.440666666667,665.686942307702,673.118335237171
0.044,344.288,672.689125738903,679.566300575856
0.0445,351.355666666667,679.784664547227,686.027549677238
0.045,354,685.879793408479,692.714859708098
0.0455,358.491,693.249184251023,699.085197954963
0.046,363,699.367333039895,705.130978741671
0.0465,366,705.363190796269,710.31117398031
0.047,369,711.294661036709,716.045108994222
0.0475,374.285,716.469195779216,723.429618043195
0.048,376.829333333333,722.523947552036,729.633647101175
0.0485,383.691,728.136491110508,736.2275302895
0.049,389.894,734.262527661403,741.664600871366
0.0495,395.194,739.701598895484,748.077213803474
0.05,406.2,744.690978580276,754.041617568434
0.0505,418.335333333333,750.328591863848,760.569779159649
0.051,425.235333333333,755.986605428527,766.483310225647
0.0515,427.606,762.149361995894,772.383151190878
0.052,435,768.148444105847,779.11558835927
0.0525,438,774.334028020227,784.659045264857
0.053,442.012,780.596711541277,790.846701652838
0.0535,453,786.72019358203,796.440999769704
0.054,457.282666666667,791.559132471429,801.55072223784
0.0545,462,797.19484017846,807.18478560969
0.055,463,803.689491641519,813.002969936644
0.0555,468.844333333333,809.583296315077,818.74177602815
0.056,476.912,815.888918434209,825.056541866616
0.0565,482.939,821.010898682685,830.483461710225
0.057,486.047333333333,826.915877967559,836.003251950748
0.0575,489.115,833.263265631555,841.185215670893
0.058,504,839.320546093557,847.641933970498
0.0585,516.751,846.700432024931,854.417572585135
0.059,522,852.646020161643,860.695459049246
0.0595,527.242333333334,859.580037517425,866.168088185929
0.06,542,865.70765791157,872.288201171755
0.0605,545.042,871.718737799666,878.74481100751
0.061,552.588666666667,876.913058173471,884.740305116003
0.0615,555,883.161515070152,891.138392846772
0.062,558.896,888.359518276587,896.354802983141
0.0625,564.791666666667,894.707805294931,901.773412338057
0.063,575.578,900.980652991454,907.306788680887
0.0635,579.927,906.799491966347,912.455528293379
0.064,585.994666666667,912.183546905232,917.707864205835
0.0645,589.124666666667,917.945187968498,924.26476653079
0.065,597,923.8635148577,930.234952821929
0.0655,600.790666666667,929.646343851661,936.314981495296
0.066,606.796,935.589570222981,941.329833844191
0.0665,612.999,942.128373940491,946.982679365531
0.067,618,948.787250041941,953.494346428397
0.0675,626.468333333333,955.293481369253,959.503170407808
0.068,629.536,961.549931128728,965.276768635503
0.0685,636,967.946429763182,971.580976242711
0.069,641.342666666667,974.868921599196,977.505416838
0.0695,647.478,980.96473779147,983.42951771244
0.07,651,985.309416393461,989.555885345531
0.0705,654,991.062544546855,995.44973554789
0.071,662.826,996.786848042872,1002.33181385
0.0715,669.009666666667,1001.89902257054,1007.76319229358
0.072,672.232,1007.40860723839,1012.99310667466
0.0725,678.435,1013.68221201706,1018.84416262204
0.073,687.212666666667,1019.48820467749,1024.87453486678
0.0735,693,1027.06038285618,1031.21910034375
0.074,699,1033.00631279487,1037.2790438469
0.0745,705.415666666667,1039.11023685977,1042.96018546615
0.075,710.483333333333,1045.04579123273,1048.32826019074
0.0755,716.102,1050.54428904275,1053.56526501151
0.076,720,1056.86421706187,1059.33372869557
0.0765,725.059,1062.16454018793,1065.27931122671
0.077,731.262,1068.47516606826,1071.71856793156
0.0775,737.465,1074.25921992746,1077.22938248779
0.078,743.668,1080.42368746484,1083.19869192338
0.0785,750,1085.88475795442,1088.71573592393
0.079,762,1092.41165059639,1093.67729810131
0.0795,771.184666666667,1098.07609452288,1099.75341793435
0.08,782.16,1103.89723630816,1106.32838063147
0.0805,786.683,1109.46910167003,1111.87911344707
0.081,789,1114.3498980299,1117.82941499756
0.0815,796.726,1119.87947536665,1123.16128454131
0.082,801.292,1125.64646591215,1130.23931902675
0.0825,808.495,1132.37092409706,1135.9679577753
0.083,816,1137.88562312211,1141.63913628016
0.0835,824.633666666667,1145.16362847242,1147.60547616879
0.084,832.208,1151.34263985708,1153.32917183127
0.0845,844.614000000001,1157.33557163226,1160.4834286296
0.085,858,1164.17107884146,1165.87977835505
0.0855,861,1171.00806461382,1171.62729550862
0.086,864,1176.5754527191,1177.36008931297
0.0865,870.119,1182.50643350034,1183.15177063442
0.087,885,1188.52268792233,1188.44468656159
0.0875,896.175,1194.79505655249,1194.14518838677
0.088,903,1199.84878590794,1199.59387951626
0.0885,906,1205.65765076815,1204.58284339018
0.089,912,1212.05128317503,1210.2163897125
0.0895,918.891333333333,1217.72658293354,1215.55882055538
0.09,924.513333333333,1222.84724721472,1221.02605202307
0.0905,927.581,1229.65329464201,1227.70757996671
0.091,933,1235.76176874315,1233.71612368995
0.0915,933,1242.38809496426,1238.94696239568
0.092,946.704000000001,1248.65486783762,1245.14919709948
0.0925,953.555,1254.79588439267,1251.63034102977
0.093,959.919333333333,1260.17456180632,1258.13390129088
0.0935,969.987,1267.21141811035,1264.00259256612
0.094,973.273333333334,1273.41585952415,1270.11848001258
0.0945,981.367,1279.16935881639,1275.77081939299
0.095,990,1285.41674982708,1281.4734468969
0.0955,999.773,1291.33629613789,1287.43382632492
0.096,1005.976,1296.9579234297,1293.19248243559
0.0965,1009.179,1303.14872943024,1298.49344354022
0.097,1014,1308.70036835688,1304.08767954181
0.0975,1026,1315.04462629632,1310.57898153971
0.098,1035,1321.00291544045,1316.36770638049
0.0985,1043.32733333333,1327.06863631306,1322.75275524987
0.099,1052.194,1332.66807036368,1328.90796907326
0.0995,1057.799,1338.39820140589,1334.02108056874
0.1,1065,1344.60323374064,1339.76861161248
0.1005,1074,1351.55351456806,1345.80552174628
0.101,1086,1357.47450971587,1351.84410034109
0.1015,1092,1363.73787266614,1357.91974673322
0.102,1104.68666666667,1369.97900718759,1364.45961569015
0.1025,1113.82,1375.40798658266,1371.35764085218
0.103,1126.54533333333,1381.37707736423,1378.34130168364
0.1035,1136.021,1387.77972236659,1383.73456823672
0.104,1143.04,1394.04764888555,1389.34404948553
0.1045,1157.32966666667,1399.75437985913,1395.27932021176
0.105,1182,1406.60572720124,1401.06468380376
0.1055,1194.666,1413.15946438891,1406.29970560149
0.106,1203,1419.51437203124,1412.55974353635
0.1065,1209.74633333333,1425.83526696918,1418.9136841454
0.107,1215,1432.22678080344,1424.09178362242
0.1075,1222.76333333333,1437.35401702678,1428.96590253716
0.108,1233.79733333333,1443.43043930817,1435.24711491457
0.1085,1239,1449.58315476523,1441.22489261481
0.109,1245.254,1455.49240396596,1446.39737802644
0.1095,1254,1461.38498728215,1452.67377001158
0.11,1257.22,1466.5365807879,1458.42505115292
0.1105,1274.28766666667,1472.39651824163,1464.90939878524
0.111,1286.35533333333,1478.63414143697,1470.40503409926
0.1115,1292.423,1484.67719703428,1476.92552575238
0.112,1299.49066666667,1490.37217944726,1482.73627584163
0.1125,1304.11666666667,1496.48707099923,1489.03060248147
0.113,1311,1503.01493790962,1495.3800084192
0.1135,1319.38733333333,1509.06994599024,1502.34111970067
0.114,1324.76133333333,1514.57554428115,1509.10398516824
0.1145,1344.948,1520.29502432451,1515.43802397483
0.115,1350,1524.9207385351,1522.2413813842
0.1155,1358.82166666667,1531.18529995101,1527.97182582317
0.116,1366.032,1536.13184938174,1533.27370855043
0.1165,1368.299,1543.70628688538,1539.88617271156
0.117,1374.83666666667,1550.22510092193,1545.73173540379
0.1175,1383,1555.85316727787,1552.74475442284
0.118,1390.60533333333,1562.48156202824,1558.69703455367
0.1185,1406.92533333334,1569.1321423116,1565.02433723428
0.119,1431.628,1574.15304600256,1570.73563626179
0.1195,1440,1580.07952659739,1576.98501973737
0.12,1447.72,1585.91313098408,1582.50549178372
0.1205,1454.282,1591.65884350862,1589.1428106767
0.121,1458,1597.97635436597,1594.86456168245
0.1215,1461.77633333333,1603.48985793091,1600.46332864489
0.122,1464.844,1610.11311822629,1606.12300108788
0.1225,1470,1615.96058152826,1612.76660219398
0.123,1477,1621.41461924962,1618.03047337838
0.1235,1482.094,1627.12174349974,1623.85361680743
0.124,1485.344,1632.83833922839,1629.4485051926
0.1245,1491.547,1639.03655081757,1634.62676055968
0.125,1503.5,1645.60478224259,1640.84519220266
0.1255,1508.859,1651.2357267441,1647.9611036574
0.126,1516.38533333333,1656.42211221779,1655.15840971879
0.1265,1524,1663.91599853705,1661.04831532596
0.127,1529.04133333333,1671.32393960653,1667.81862146601
0.1275,1533.58833333333,1677.92005147864,1675.27747675615
0.128,1541.656,1684.59659921139,1680.363955716
0.1285,1555.06566666667,1691.10093894024,1686.0529349164
0.129,1569,1697.14532231043,1693.16176966188
0.1295,1575,1705.13665167049,1697.90731724283
0.13,1583.78,1711.54541677632,1705.50487727408
0.1305,1606.98866666667,1717.20580736722,1711.6755209599
0.131,1614.186,1722.5439845275,1718.65573984724
0.1315,1623,1729.54165105521,1725.32905220566
0.132,1629.592,1735.14117164273,1731.88227827557
0.1325,1642.265,1741.73585610714,1738.70404686199
0.133,1647.998,1749.09294898859,1745.20628410818
0.1335,1657.201,1756.46222678209,1750.81799091118
0.134,1671.468,1763.13977912712,1758.08515134265
0.1345,1676.07133333333,1769.78160653909,1765.28486642905
0.135,1680.60333333333,1775.19854567659,1772.67707738139
0.1355,1686,1782.33045955793,1778.08896603214
0.136,1699.69333333333,1789.97558059347,1784.03450985366
0.1365,1704,1796.69724949918,1790.33716488309
0.137,1710.496,1803.49434499896,1796.72194112678
0.1375,1722,1810.2943714513,1802.56959369256
0.138,1731.084,1817.85982573752,1808.70420370348
0.1385,1749.077,1823.65969582738,1815.29208026156
0.139,1752,1830.48029384464,1821.68298063549
0.1395,1755.637,1836.75819440637,1828.35302317273
0.14,1763.28,1844.30734673307,1833.77230418813
0.1405,1774.043,1850.85071573241,1840.89887437973
0.141,1785,1856.93626678256,1847.4425568812
0.1415,1791,1863.26706711564,1854.86054778953
0.142,1799.55066666667,1869.81235449732,1861.6913801924
0.1425,1814.09166666667,1877.20559562481,1868.67644452843
0.143,1819.686,1882.868462773,1875.63022015739
0.1435,1830,1889.85285350458,1881.68040941707
0.144,1837.10666666667,1896.46825470006,1888.69868242921
0.1445,1856.001,1902.6527970555,1895.95430459935
0.145,1872.43666666667,1909.66675943746,1902.56539717179
0.1455,1887,1917.15551514515,1909.35049748955
0.146,1902.092,1923.79618081162,1915.49238560677
0.1465,1921.31933333333,1930.97506159228,1921.61530348344
0.147,1929,1937.6218969758,1928.97034213464
0.1475,1933,1943.82066479038,1935.58356655738
0.148,1938.088,1950.0485737936,1941.91648873056
0.1485,1944,1956.8308954033,1949.47507303995
0.149,1947,1962.84438670272,1955.07132904092
0.1495,1958.82833333333,1969.41973990372,1962.1813292567
0.15,1974.9,1976.66367587954,1968.6298843118
0.1505,1986,1984.35854889834,1974.42569039955
0.151,1997.76866666667,1991.0742436426,1980.77923392851
0.1515,2004,1997.89440556873,1987.67531428326
0.152,2017.04,2005.01234053679,1993.85355419477
0.1525,2035.94333333333,2010.57259689514,2000.52275997561
0.153,2042.03933333333,2018.40684966989,2007.99302555978
0.1535,2051.214,2024.69534078507,2015.17371383631
0.154,2067.22266666667,2032.09014057217,2022.76137355311
0.1545,2075.96933333333,2037.85211313806,2029.46628880381
0.155,2094.93,2044.20491277684,2035.97798277442
0.1555,2107.37766666667,2051.45471775781,2042.85947419045
0.156,2115,2057.90588900458,2050.51973644512
0.1565,2123.026,2063.79142306015,2058.58943639383
0.157,2134.742,2071.28895814076,2065.1931597323
0.1575,2155.78,2076.88376340089,2071.12594398535
0.158,2170.296,2083.37269590336,2077.35886137502
0.1585,2178.78366666667,2090.76551590782,2084.0884243434
0.159,2184,2097.37944153493,2090.88406542282
0.1595,2187,2103.92285090751,2097.74891535737
0.16,2197.97333333333,2110.9453639739,2105.45627097396
0.1605,2212.43466666667,2118.07724837449,2112.79973327161
0.161,2233.244,2124.8295521368,2119.52060376208
0.1615,2245.18966666667,2130.97786418288,2127.20010664388
0.162,2250,2138.62780342986,2134.26233408147
0.1625,2254.95,2145.59900656695,2140.48199184058
0.163,2262.57066666667,2152.61148706642,2147.55305561501
0.1635,2269.92066666667,2158.34516050562,2154.17397232064
0.164,2279.528,2165.29650839584,2160.55859021514
0.1645,2287.19133333333,2172.99253892852,2166.59057379126
0.165,2296.63333333333,2180.3181345687,2172.88643581695
0.1655,2314.193,2189.01278025545,2179.68261088292
0.166,2322,2196.61188227098,2186.24334163138
0.1665,2338.797,2204.60973577281,2192.52499332963
0.167,2345.802,2211.71312332139,2200.05031300707
0.1675,2349.005,2219.8697779586,2206.61634060682
0.168,2361.416,2227.40160725496,2212.96104945528
0.1685,2372.548,2233.82407250872,2220.70757020944
0.169,2392,2241.06054904561,2229.24971684042
0.1695,2397.817,2248.69856552517,2236.21137186599
0.17,2421.68,2256.8685663799,2242.86884408239
0.1705,2431.223,2264.21470064328,2251.16919958441
0.171,2440.426,2271.70637142736,2258.52449962339
0.1715,2451.543,2279.38074613261,2265.21174164555
0.172,2464.832,2286.36190147469,2273.25577819538
0.1725,2471.035,2293.64732119883,2279.44834382435
0.173,2491.476,2301.06021963539,2287.69701775942
0.1735,2501.441,2308.38656566461,2295.31285126952
0.174,2505,2315.28527528305,2301.51180685771
0.1745,2519.847,2323.52638763854,2309.71804434932
0.175,2529.13333333334,2331.26751801622,2317.17286202246
0.1755,2541,2339.87748250245,2323.28982216203
0.176,2544,2347.46920170244,2329.31405106126
0.1765,2552.87866666667,2355.25241412641,2337.19471722344
0.177,2577,2363.42403419988,2345.16723680175
0.1775,2585.42,2370.56710063012,2351.97439736575
0.178,2596.268,2377.98355674315,2359.49854186825
0.1785,2606.942,2385.3162623628,2367.4072339916
0.179,2613.558,2392.11786792856,2373.92880283095
0.1795,2621.62566666667,2400.34412884419,2381.51728791407
0.18,2625,2407.78027694801,2388.59739651757
0.1805,2631.761,2415.70923738552,2397.7539498324
0.181,2645.80066666667,2423.30238443124,2405.34463366776
0.1815,2657.378,2431.39822748738,2412.11929171372
0.182,2667.856,2439.70838157921,2420.59141554416
0.1825,2674.03166666667,2447.5301335454,2427.67062956647
0.183,2676,2454.62201114553,2435.711076454
0.1835,2694,2463.03283989714,2444.46656918641
0.184,2705.224,2469.79050559513,2452.08587701317
0.1845,2734.51166666667,2477.29633361328,2460.690622981
0.185,2746.74,2485.79153341112,2466.92350893494
0.1855,2752.87533333333,2492.23430857344,2474.87641336362
0.186,2760,2500.16275217027,2483.91027817836
0.1865,2767.146,2508.17638820059,2492.37585956404
0.187,2773.922,2516.39123254539,2499.02292699395
0.1875,2781.54166666667,2524.04417415908,2506.88632934228
0.188,2794.656,2532.10649759904,2515.32093171632
0.1885,2813.68733333333,2539.47794384463,2522.13177017686
0.189,2824.91133333333,2546.96645295156,2529.81152471695
0.1895,2831.937,2554.8961924907,2537.64162715342
0.19,2835.09333333333,2562.30893909034,2546.9309546956
0.1905,2865.343,2570.47664803146,2554.40745192949
0.191,2874,2578.3068108406,2563.4494300692
0.1915,2881.49933333333,2585.35305182621,2571.36888736056
0.192,2895.31733333333,2592.98614677114,2579.26933054919
0.1925,2901.385,2602.06268983537,2586.15107858719
0.193,2914.358,2610.2534091924,2592.49759162827
0.1935,2923.561,2617.58832135201,2600.41811811352
0.194,2937.528,2625.86430865588,2607.31708308243
0.1945,2949,2635.32699120851,2617.18557638998
0.195,2955,2644.4885870137,2625.84512025277
0.1955,2972.373,2652.48716482271,2633.33147749702
0.196,2987.152,2661.89172369548,2641.24926234737
0.1965,2993.92633333333,2670.05544482191,2649.27316593887
0.197,3008.994,2678.18231253826,2657.33110882992
0.1975,3033.12333333333,2686.6571618947,2665.17580409434
0.198,3051.388,2695.39567327298,2673.57848656948
0.1985,3060.197,2703.24693011246,2681.22310638063
0.199,3083.382,2711.5203882324,2689.59409204841
0.1995,3099.997,2719.29078467835,2699.34425676675
0.2,3117,2726.72475700673,2706.9123686495
0.2005,3130.403,2735.71022548024,2714.29638432953
0.201,3141,2743.90410248714,2722.79017444049
0.2015,3150,2752.82705267175,2729.89059560517
0.202,3159.69466666667,2762.003189374,2738.49245765846
0.2025,3164,2769.47478115963,2747.13238312292
0.203,3178.612,2777.52986768505,2755.58251907222
0.2035,3189.74733333333,2785.24809454552,2765.5671969275
0.204,3197.824,2792.16915932702,2775.38786866156
0.2045,3225.036,2802.11524319734,2783.58484683108
0.205,3237.15333333333,2810.713922415,2791.35555555578
0.2055,3250.28866666667,2819.57998510907,2800.14868033489
0.206,3264.484,2827.77561317357,2808.90127672845
0.2065,3276,2836.25735577784,2817.88037971806
0.207,3292.73666666667,2843.9951661692,2826.94898779994
0.2075,3301,2852.93401153378,2835.19562481296
0.208,3309,2860.65149770744,2844.03810598803
0.2085,3316.10066666667,2869.82354585702,2851.87865870089
0.209,3324,2877.63032721079,2860.98724569013
0.2095,3336,2885.70517858138,2869.8249520049
0.21,3350.01333333333,2893.94872381069,2877.91091435667
0.2105,3358,2903.88374261601,2887.63361759041
0.211,3366,2912.2788196112,2896.42861502922
0.2115,3375,2921.76211099834,2903.7069585082
0.212,3390.168,2931.44734830051,2914.8068122768
0.2125,3405,2941.49554680707,2923.92154465451
0.213,3411.15933333333,2949.7628204894,2933.06007574078
0.2135,3432.227,2958.06009729502,2942.6981043549
0.214,3439.42,2967.93022655868,2951.55171443694
0.2145,3457.81166666667,2976.08744385218,2959.31911276607
0.215,3480.43,2985.15210749618,2966.69742424738
0.2155,3490.493,2993.93470687196,2975.7475607827
0.216,3499.696,3004.23970979968,2984.77470993683
0.2165,3517.596,3013.50422242251,2992.70447879872
0.217,3534.10866666667,3022.30707287327,3000.19101500241
0.2175,3563.305,3031.29362822572,3009.79651032701
0.218,3576.508,3040.02037012844,3017.92964830073
0.2185,3594.90366666667,3049.37144161987,3028.84989909173
0.219,3601,3059.33961261217,3038.28550637525
0.2195,3606.117,3068.32891953347,3046.02688802054
0.22,3618.21333333333,3077.42978296833,3054.21411560376
0.2205,3626.69733333333,3087.32979783713,3064.15863312692
0.221,3649.484,3095.37798489005,3072.12594808355
0.2215,3661.858,3104.87203468188,3080.76199479836
0.222,3674.88666666667,3114.81840732102,3089.67852378025
0.2225,3693.89,3123.59862043502,3098.4091331851
0.223,3706.10133333333,3132.85856951148,3107.79258174465
0.2235,3720,3142.82984756607,3117.61911986698
0.224,3724.296,3151.5783089293,3126.68351240345
0.2245,3734.147,3159.55261602969,3135.98690394862
0.225,3754.7,3169.60365705528,3144.88657149489
0.2255,3770.106,3180.58159132813,3155.59442944566
0.226,3778.91866666667,3190.14365603594,3164.27101503991
0.2265,3784.98633333333,3200.27810710412,3173.47209063627
0.227,3794.108,3209.01656383364,3182.39304845068
0.2275,3807.365,3220.43332697811,3190.97919237658
0.228,3817.136,3229.78448173116,3201.77273109708
0.2285,3837.257,3239.46599986654,3211.95749151294
0.229,3846.32466666667,3249.85807374414,3220.28972179937
0.2295,3874.177,3259.40068270901,3229.10816898787
0.23,3891.06,3268.54237073558,3238.81328955193
0.2305,3923.22133333333,3276.62919126027,3248.33260651771
0.231,3945.572,3286.29440569786,3258.9749765702
0.2315,3978.271,3294.43909540133,3269.74078285487
0.232,3988.92266666667,3305.40205438658,3280.42483120819
0.2325,3997.58833333333,3313.74832808876,3290.53962494366
0.233,4005,3324.26323693659,3300.61575117702
0.2335,4013.801,3334.61647331425,3309.63397411154
0.234,4027.00666666667,3345.04282000469,3321.19192079815
0.2345,4038.069,3354.45824176232,3331.52773448501
0.235,4046.13666666667,3364.98602330928,3341.72336488528
0.2355,4073.452,3374.68115394634,3350.32158893211
0.236,4095.36,3386.13956346741,3360.32553893356
0.2365,4116,3396.36286036843,3369.5980794726
0.237,4131.666,3406.32431444103,3380.68718476466
0.2375,4144.95,3417.80320815654,3392.26696888376
0.238,4164.256,3426.70566201869,3403.17827141345
0.2385,4192.493,3436.28178767014,3412.67558026545
0.239,4206.034,3448.56307754687,3423.4515431122
0.2395,4226.948,3457.73075844933,3433.01569205821
0.24,4256.69333333333,3467.14150099936,3443.73771571377
0.2405,4280.643,3476.37202792973,3453.39836693146
0.241,4292.74333333333,3487.94671976646,3463.75504321015
0.2415,4308.03266666667,3498.60000641017,3474.5111746057
0.242,4330.252,3510.49399777914,3485.29178812344
0.2425,4346.60666666667,3521.56926996867,3497.15011817486
0.243,4361.87733333333,3531.71927170502,3506.43038785919
0.2435,4378,3540.85867852862,3517.3385165329
0.244,4383.35466666667,3551.14696458243,3526.96417079933
0.2445,4392.801,3561.81424921375,3537.57325251903
0.245,4409.35,3572.87951701638,3548.24314707304
0.2455,4432.673,3582.45861478455,3559.76748801707
0.246,4446.62533333333,3593.50624196649,3571.70131631067
0.2465,4460.386,3603.61433293875,3581.63218993236
0.247,4466.32466666667,3613.43374866585,3593.96344976443
0.2475,4472.65666666667,3622.8612273708,3604.47202308609
0.248,4487.688,3632.5389059466,3615.3911537929
0.2485,4496.891,3644.24291325106,3626.84267419541
0.249,4515,3655.10714876939,3636.98416125576
0.2495,4521.297,3664.2693641625,3647.45346906199
0.25,4529.33333333333,3674.96937173569,3659.10167512548
0.2505,4547.93733333333,3685.69543339499,3669.99756858894
0.251,4557.604,3696.43808769183,3680.30664911994
0.2515,4569.73933333333,3707.07279463134,3690.59523183713
0.252,4583.43733333333,3719.45904247097,3700.94950694941
0.2525,4600.535,3731.43002952655,3712.55092400306
0.253,4611.436,3741.75583055614,3724.87723180473
0.2535,4618.64033333333,3753.35258174565,3734.80367894325
0.254,4623,3766.37412608565,3746.77742079502
0.2545,4660.53233333334,3775.93479414634,3759.43906982065
0.255,4679.37333333333,3789.69350551678,3772.95208474839
0.2555,4691.288,3800.57209266378,3786.09157986763
0.256,4703.936,3811.22331235817,3797.89272027763
0.2565,4720.09266666667,3821.58639202139,3808.87296604959
0.257,4730.114,3833.71071356848,3820.36013609831
0.2575,4746.36333333333,3843.07064789924,3830.83614361332
0.258,4773.24933333333,3854.98382255592,3843.16702379288
0.2585,4794.951,3867.285876032,3853.07683816538
0.259,4810.53933333334,3880.31893024474,3864.18849637961
0.2595,4830.61866666667,3891.5220011197,3875.38881381759
0.26,4852.04,3903.54357581367,3886.5182789133
0.2605,4861.05200000001,3914.99218201776,3898.17727030718
0.261,4897.20866666667,3926.4777559555,3909.91065927582
0.2615,4911.615,3939.29912772234,3923.77582490641
0.262,4931.372,3952.65443417284,3936.53761622029
0.2625,4940.575,3963.99122154304,3948.15343439004
0.263,4946.852,3976.10234939119,3959.90800971535
0.2635,4964.981,3986.74616755358,3973.70282353985
0.264,4980,4000.18654102583,3986.63783111521
0.2645,4993.645,4012.53981029797,3999.59644724487
0.265,5013.78666666667,4024.95081026624,4010.99523528808
0.2655,5037.90766666667,4037.31862590897,4022.72015841457
0.266,5058,4047.90169969546,4034.97260010956
0.2665,5064,4060.25406520286,4047.54051474554
0.267,5069.86933333334,4072.14978605329,4058.48788470807
0.2675,5078.675,4084.34984324483,4069.84453159915
0.268,5098.62933333334,4095.11320029793,4081.79348336489
0.2685,5123.011,4109.67650606623,4094.36444059598
0.269,5137.38,4123.95915731697,4107.05441526924
0.2695,5145,4136.59091261343,4120.46335699115
0.27,5158.36666666667,4148.5666406128,4131.52863550775
0.2705,5183.292,4162.82143297272,4146.81039327679
0.271,5195.00866666667,4176.36599846448,4158.9202555404
0.2715,5211.458,4189.97444287406,4170.77940313334
0.272,5226.144,4202.95023992214,4184.80767014436
0.2725,5232,4219.71195955634,4199.41339760781
0.273,5240.39666666667,4234.48799009846,4216.83020793276
0.2735,5268.388,4248.23825961604,4231.37499929227
0.274,5292,4260.5671176752,4247.38468441099
0.2745,5309.447,4275.56761728424,4260.28415477008
0.275,5334.75,4288.49063096625,4274.94561565257
0.2755,5348.11800000001,4301.93648719775,4286.91422109336
0.276,5374.42666666667,4314.29565155026,4298.15842751888
0.2765,5390.012,4328.20535862993,4312.50727783999
0.277,5415.848,4342.13623759439,4326.07080043942
0.2775,5438.21833333334,4355.37141901462,4341.24823503132
0.278,5445,4368.27098501917,4353.36702104621
0.2785,5460,4384.05635024739,4366.45455992228
0.279,5472.274,4399.02306394635,4378.57040622167
